,Exe_time,Case_Study,Dati,Start,Turning & Milling,Turning & Milling Q.C.,Laser Marking,Lapping,Round Grinding,Final Inspection Q.C.,Packing,End,Turning Q.C.,Flat Grinding,Grinding Rework,Setup,Turning,SETUP     Turning & Milling,Final Inspection,Rework Milling,Milling Q.C.,Milling,Fix,Round  Q.C.,Stress Relief,Turning Rework,Change Version,Turn & Mill. & Screw Assem,Nitration Q.C.
45,"(1.0, 16.001049799844623)",Production_Case_Study,error,0.0,34235.37053817746,74457.1240253999,131454.7619047619,205825.6216216215,53835.79249085131,105637.85128900954,74221.14013544368,20879.999999999996,23390.09659460379,68692.8526168436,298047.0425242778,77670.0,53986.01456205115,57214.190086,36060.0,6300.0,0.0,53248.0,234929.99999999994,120197.64695114287,7300.000000000002,399560.00000000006,34897.666666666664,87666.85714285716,894900.0
46,"(1.0, 31.462457600049675)",Production_Case_Study,alpha,0,0.03125,0.046875,0,0.5,0,0.0625,0.060546875,0,0.03125,0.125,0.09375,0.5,0,0.25,0,1,1,0.125,0,0.125,0,0.5,0,0.0625,0
47,"(1.0, 31.462457600049675)",Production_Case_Study,error,0.0,32592.113537465993,74609.18069450207,134521.42857142858,194132.59785125667,56231.64352239138,94829.84228304174,71006.26313333449,1500.0000000000005,42019.146852540405,69698.22371652073,304529.54206432716,5730.0,54115.275590551144,99339.15663028572,36060.0,6300.0,264572.692736,13350.270158643478,368110.0,77244.95563033334,7300.000000000002,399560.00000000006,47415.0,64350.25244706287,894900.0
48,"(1.0, 23.728898799978197)",Production_Case_Study,alpha,0,0.0546875,0,0.125,0,0,0,0.0625,1,0.0625,0.0625,0.125,0.75,0,0.5,0.25,0.75,0,0.25,0,0,0,0,1,0.1328125,0
49,"(1.0, 23.728898799978197)",Production_Case_Study,error,0.0,33411.77084155053,71834.19758475195,95017.39643092063,201321.08108108098,58129.12311330961,104322.38332496237,72892.63619766344,6701.342215928571,37267.65759792355,67930.00323126704,320796.46931744344,5730.0,54115.275590551144,127417.09568957142,36060.0,85419.609501,0.0,21026.05321437576,373510.0,74766.0,7300.000000000002,413973.3333333334,38105.0,77028.88057440441,826500.0
50,"(1.0, 31.407415200024843)",Production_Case_Study,alpha,0,0,0.0625,0,0,0,0.09375,0.0625,0,0.015625,0.0625,0.125,1,0,0,0,0.25,0.75,0.01171875,0,0.0625,0.5,0.5,0,0,0
51,"(1.0, 31.407415200024843)",Production_Case_Study,error,0.0,33974.310890055574,64108.53613280043,134521.42857142858,195656.27027027015,54772.80829127004,87698.88097287479,76347.77339011904,8742.857142857141,35453.45486124829,67997.24737451582,307419.0775377903,68475.08358399999,54115.275590551144,52360.0,3660.0,6300.0,0.0,20898.95299686667,281636.6666666666,120001.437521,7300.000000000002,399560.00000000006,31345.0,77557.76623376625,696700.0
52,"(1.0, 23.316841299878433)",Production_Case_Study,alpha,0,0.046875,0,0.25,1,0,0.03125,0.0625,0,0,0.09375,0.0625,0,0,0.125,1,0,0,0.125,0,0.125,0,0,0.5,0.125,0
53,"(1.0, 23.316841299878433)",Production_Case_Study,error,0.0,34243.73549138347,71319.17828319884,103847.04721130952,201651.23729062153,55986.204408244914,97035.99393198562,75045.30766340216,0.0,34743.65656565657,40643.31583756895,298277.5676850621,5730.0,54115.275590551144,42428.987373,36060.0,6300.0,0.0,15859.216473518516,332109.99999999994,69237.93171416665,7300.000000000002,365840.00000000006,35698.333333333336,84269.01077614687,686100.0
54,"(1.0, 7.326845600036904)",Production_Case_Study,alpha,0,0,0,0,0,0.03125,0.125,0.0625,0,0,0.0625,0,0,0,0.5,0,0.5,0,0,0,0,0.5,1,0.5,0.0625,0
55,"(1.0, 7.326845600036904)",Production_Case_Study,error,0.0,34345.31219580032,81920.03469963133,126054.76190476191,201025.62162162148,53942.54685183491,101666.94362332055,95925.41299861475,2492.3076923076915,32700.30094043888,47256.677299830386,339874.7677065202,5730.0,54115.275590551144,125968.17686114287,36060.0,6300.0,0.0,28703.0,373510.0,159174.0,7300.000000000002,399560.00000000006,38451.66666666667,68496.03645560003,876900.0
56,"(1.0, 31.14593779994175)",Production_Case_Study,alpha,0,0.0546875,0.0625,1,0,0,0.03125,0.0546875,0,0.05078125,0.0625,0.171875,0,0,0,0.0625,1,1,0.09375,1,0.125,0,0,0.5,0.09375,0
57,"(1.0, 31.14593779994175)",Production_Case_Study,error,0.0,32642.42449194577,76997.38246717636,123717.54524998095,170526.48648648636,55424.35147893119,104105.60167923031,80250.90400103189,2057.1428571428573,32717.690463325795,66235.9747052506,238216.7858890683,5730.0,54115.275590551144,48093.33333333334,36060.0,48522.81969,0.0,18570.893747675673,374252.46103566664,96423.39102766666,7300.000000000002,399560.00000000006,13905.0,63834.850052311056,766500.0
58,"(1.0, 15.690452999901026)",Production_Case_Study,alpha,0,0.015625,0,0,0,0.03125,0.03125,0.0625,0,0.0625,0.03125,0.03125,0,0,0,0.25,1,0,0.125,0,0,0,0,0.75,0.125,0
59,"(1.0, 15.690452999901026)",Production_Case_Study,error,0.0,32940.41112166991,75419.79885057473,124621.42857142858,205171.07616707604,54336.164871169094,100538.98754556585,86145.1296315704,981.8181818181818,27455.673284151715,63817.792098449165,317695.4677664599,5730.0,54115.275590551144,5600.000000000001,36060.0,6300.0,0.0,43483.767036374986,373510.0,137790.0,7300.000000000002,399440.00000000006,22215.0,70490.16527000323,754500.0
